product_category_name,product_category_name_english,grouped_category
beleza_saude,health_beauty,Cosmetics_bodycare
informatica_acessorios,computers_accessories,Tech_product
automotivo,auto,Tech_product
cama_mesa_banho,bed_bath_table,Furniture and decor
moveis_decoracao,furniture_decor,Furniture and decor
esporte_lazer,sports_leisure,Sports
perfumaria,perfumery,Cosmetics_bodycare
utilidades_domesticas,housewares,Furniture and decor
telefonia,telephony,Tech_product
relogios_presentes,watches_gifts,Household_items
alimentos_bebidas,food_drink,Food_beverage
bebes,baby,Cosmetics_bodycare
papelaria,stationery,Office_equipment
tablets_impressao_imagem,tablets_printing_image,Tech_product
brinquedos,toys,Household_items
telefonia_fixa,fixed_telephony,Tech_product
ferramentas_jardim,garden_tools,Household_items
fashion_bolsas_e_acessorios,fashion_bags_accessories,Clothing
eletroportateis,small_appliances,Household_items
consoles_games,consoles_games,Tech_product
audio,audio,Tech_product
fashion_calcados,fashion_shoes,Clothing
cool_stuff,cool_stuff,Furniture and decor
malas_acessorios,luggage_accessories,Household_items
climatizacao,air_conditioning,Tech_product
construcao_ferramentas_construcao,construction_tools_construction,Household_items
moveis_cozinha_area_de_servico_jantar_e_jardim,kitchen_dining_laundry_garden_furniture,Furniture and decor
construcao_ferramentas_jardim,costruction_tools_garden,Household_items
fashion_roupa_masculina,fashion_male_clothing,Clothing
pet_shop,pet_shop,Household_items
moveis_escritorio,office_furniture,Office_equipment
market_place,market_place,Household_items
eletronicos,electronics,Tech_product
eletrodomesticos,home_appliances,Household_items
artigos_de_festas,party_supplies,Household_items
casa_conforto,home_confort,Household_items
construcao_ferramentas_ferramentas,costruction_tools_tools,Household_items
agro_industria_e_comercio,agro_industry_and_commerce,Household_items
moveis_colchao_e_estofado,furniture_mattress_and_upholstery,Furniture and decor
livros_tecnicos,books_technical,Books
casa_construcao,home_construction,Household_items
instrumentos_musicais,musical_instruments,Sound_media
moveis_sala,furniture_living_room,Furniture and decor
construcao_ferramentas_iluminacao,construction_tools_lights,Household_items
industria_comercio_e_negocios,industry_commerce_and_business,Others
alimentos,food,Food_beverage
artes,art,Sound_media
moveis_quarto,furniture_bedroom,Furniture and decor
livros_interesse_geral,books_general_interest,Books
construcao_ferramentas_seguranca,construction_tools_safety,Household_items
fashion_underwear_e_moda_praia,fashion_underwear_beach,Clothing
fashion_esporte,fashion_sport,Clothing
sinalizacao_e_seguranca,signaling_and_security,Others
pcs,computers,Tech_product
artigos_de_natal,christmas_supplies,Household_items
fashion_roupa_feminina,fashio_female_clothing,Clothing
eletrodomesticos_2,home_appliances_2,Household_items
livros_importados,books_imported,Books
bebidas,drinks,Food_beverage
cine_foto,cine_photo,Tech_product
la_cuisine,la_cuisine,Household_items
musica,music,Sound_media
casa_conforto_2,home_comfort_2,Household_items
portateis_casa_forno_e_cafe,small_appliances_home_oven_and_coffee,Household_items
cds_dvds_musicais,cds_dvds_musicals,Sound_media
dvds_blu_ray,dvds_blu_ray,Sound_media
flores,flowers,Furniture and decor
artes_e_artesanato,arts_and_craftmanship,Furniture and decor
fraldas_higiene,diapers_and_hygiene,Cosmetics_bodycare
fashion_roupa_infanto_juvenil,fashion_childrens_clothes,Clothing
seguros_e_servicos,security_and_services,Others
